naive_encoding_time,naive_decoding_time,accurate_encoding_time,accurate_decoding_time,horizontal_step,vertical_step,tile_size,error_threshold,frame_path
20.808113,3.820265,27.962662,6.794697,0.09009,0.47,4,0.001,2011_09_26/2011_09_26_drive_0001_sync/velodyne_points/data/0000000000.bin
24.580642,5.671097,25.715622,6.662864,0.09009,0.47,4,0.01,2011_09_26/2011_09_26_drive_0001_sync/velodyne_points/data/0000000000.bin
22.543385,3.802041,29.650905,6.764768,0.09009,0.47,4,0.05,2011_09_26/2011_09_26_drive_0001_sync/velodyne_points/data/0000000000.bin
31.432175,3.785216,47.853992,6.606955,0.09009,0.47,4,0.1,2011_09_26/2011_09_26_drive_0001_sync/velodyne_points/data/0000000000.bin
50.968016,3.823627,51.820013,6.91235,0.09009,0.47,4,0.25,2011_09_26/2011_09_26_drive_0001_sync/velodyne_points/data/0000000000.bin
53.72973,3.92999,59.743845,8.048719,0.09009,0.47,4,0.5,2011_09_26/2011_09_26_drive_0001_sync/velodyne_points/data/0000000000.bin
75.81851,3.783957,84.410745,6.830807,0.09009,0.47,4,0.75,2011_09_26/2011_09_26_drive_0001_sync/velodyne_points/data/0000000000.bin
95.61935,3.782002,97.20673,6.725848,0.09009,0.47,4,1.0,2011_09_26/2011_09_26_drive_0001_sync/velodyne_points/data/0000000000.bin
20.508373,3.961354,16.748194,6.777558,0.09009,0.47,4,0.001,2011_09_26/2011_09_26_drive_0117_sync/velodyne_points/data/0000000000.bin
18.575749,3.939069,21.999569,6.880508,0.09009,0.47,4,0.01,2011_09_26/2011_09_26_drive_0117_sync/velodyne_points/data/0000000000.bin
16.561581,3.909099,21.473421,6.911093,0.09009,0.47,4,0.05,2011_09_26/2011_09_26_drive_0117_sync/velodyne_points/data/0000000000.bin
22.854231,3.892949,32.954539,7.86167,0.09009,0.47,4,0.1,2011_09_26/2011_09_26_drive_0117_sync/velodyne_points/data/0000000000.bin
34.514851,3.876166,47.449154,12.708443,0.09009,0.47,4,0.25,2011_09_26/2011_09_26_drive_0117_sync/velodyne_points/data/0000000000.bin
58.887804,3.917685,67.119366,7.06686,0.09009,0.47,4,0.5,2011_09_26/2011_09_26_drive_0117_sync/velodyne_points/data/0000000000.bin
62.754104,3.940742,70.191118,6.988964,0.09009,0.47,4,0.75,2011_09_26/2011_09_26_drive_0117_sync/velodyne_points/data/0000000000.bin
69.527522,3.890537,76.823243,7.859008,0.09009,0.47,4,1.0,2011_09_26/2011_09_26_drive_0117_sync/velodyne_points/data/0000000000.bin
12.7713,4.15814,27.578187,6.814231,0.09009,0.47,4,0.001,2011_09_28/2011_09_28_drive_0001_sync/velodyne_points/data/0000000000.bin
16.417346,4.334481,20.254532,6.829361,0.09009,0.47,4,0.01,2011_09_28/2011_09_28_drive_0001_sync/velodyne_points/data/0000000000.bin
22.842434,4.016019,25.182121,6.882472,0.09009,0.47,4,0.05,2011_09_28/2011_09_28_drive_0001_sync/velodyne_points/data/0000000000.bin
22.800013,3.988666,29.825874,6.865753,0.09009,0.47,4,0.1,2011_09_28/2011_09_28_drive_0001_sync/velodyne_points/data/0000000000.bin
37.198575,4.004912,57.122649,6.831477,0.09009,0.47,4,0.25,2011_09_28/2011_09_28_drive_0001_sync/velodyne_points/data/0000000000.bin
54.764102,4.052635,51.793318,6.949515,0.09009,0.47,4,0.5,2011_09_28/2011_09_28_drive_0001_sync/velodyne_points/data/0000000000.bin
52.835054,4.009659,57.193758,7.57681,0.09009,0.47,4,0.75,2011_09_28/2011_09_28_drive_0001_sync/velodyne_points/data/0000000000.bin
54.742054,4.019516,61.030102,6.806421,0.09009,0.47,4,1.0,2011_09_28/2011_09_28_drive_0001_sync/velodyne_points/data/0000000000.bin
20.451959,3.66358,26.035737,6.322228,0.09009,0.47,4,0.001,2011_09_28/2011_09_28_drive_0222_sync/velodyne_points/data/0000000000.bin
25.146735,3.669801,25.049525,6.427812,0.09009,0.47,4,0.01,2011_09_28/2011_09_28_drive_0222_sync/velodyne_points/data/0000000000.bin
13.705419,13.336309,33.396373,6.326573,0.09009,0.47,4,0.05,2011_09_28/2011_09_28_drive_0222_sync/velodyne_points/data/0000000000.bin
27.131872,5.933812,28.802901,6.410455,0.09009,0.47,4,0.1,2011_09_28/2011_09_28_drive_0222_sync/velodyne_points/data/0000000000.bin
35.164625,3.667333,38.391446,6.457575,0.09009,0.47,4,0.25,2011_09_28/2011_09_28_drive_0222_sync/velodyne_points/data/0000000000.bin
42.619155,3.681339,58.572588,6.597578,0.09009,0.47,4,0.5,2011_09_28/2011_09_28_drive_0222_sync/velodyne_points/data/0000000000.bin
49.44386,3.797682,43.424197,7.372454,0.09009,0.47,4,0.75,2011_09_28/2011_09_28_drive_0222_sync/velodyne_points/data/0000000000.bin
49.268521,4.30003,45.060914,6.531733,0.09009,0.47,4,1.0,2011_09_28/2011_09_28_drive_0222_sync/velodyne_points/data/0000000000.bin
22.306544,3.920898,25.646476,6.727187,0.09009,0.47,4,0.001,2011_09_29/2011_09_29_drive_0004_sync/velodyne_points/data/0000000000.bin
19.954388,3.857187,36.984587,6.737336,0.09009,0.47,4,0.01,2011_09_29/2011_09_29_drive_0004_sync/velodyne_points/data/0000000000.bin
23.742152,3.875728,30.748339,6.786715,0.09009,0.47,4,0.05,2011_09_29/2011_09_29_drive_0004_sync/velodyne_points/data/0000000000.bin
32.884333,3.879361,40.047929,13.644352,0.09009,0.47,4,0.1,2011_09_29/2011_09_29_drive_0004_sync/velodyne_points/data/0000000000.bin
40.685991,3.894296,54.570831,6.82266,0.09009,0.47,4,0.25,2011_09_29/2011_09_29_drive_0004_sync/velodyne_points/data/0000000000.bin
60.97005,3.90418,62.366641,7.847429,0.09009,0.47,4,0.5,2011_09_29/2011_09_29_drive_0004_sync/velodyne_points/data/0000000000.bin
72.418866,3.86386,77.197182,6.870928,0.09009,0.47,4,0.75,2011_09_29/2011_09_29_drive_0004_sync/velodyne_points/data/0000000000.bin
82.068425,3.862513,78.922532,11.233246,0.09009,0.47,4,1.0,2011_09_29/2011_09_29_drive_0004_sync/velodyne_points/data/0000000000.bin
22.841733,3.77947,25.921682,6.755971,0.09009,0.47,4,0.001,2011_09_29/2011_09_29_drive_0071_sync/velodyne_points/data/0000000000.bin
18.592488,3.822184,25.870926,6.718324,0.09009,0.47,4,0.01,2011_09_29/2011_09_29_drive_0071_sync/velodyne_points/data/0000000000.bin
22.890356,4.372007,27.46767,6.764454,0.09009,0.47,4,0.05,2011_09_29/2011_09_29_drive_0071_sync/velodyne_points/data/0000000000.bin
28.14233,3.849155,38.670256,6.99881,0.09009,0.47,4,0.1,2011_09_29/2011_09_29_drive_0071_sync/velodyne_points/data/0000000000.bin
42.120607,3.841663,45.022348,6.713038,0.09009,0.47,4,0.25,2011_09_29/2011_09_29_drive_0071_sync/velodyne_points/data/0000000000.bin
43.541197,3.957177,69.508629,8.659609,0.09009,0.47,4,0.5,2011_09_29/2011_09_29_drive_0071_sync/velodyne_points/data/0000000000.bin
60.30957,3.859608,60.450393,8.818514,0.09009,0.47,4,0.75,2011_09_29/2011_09_29_drive_0071_sync/velodyne_points/data/0000000000.bin
59.685726,3.89091,56.771219,6.751707,0.09009,0.47,4,1.0,2011_09_29/2011_09_29_drive_0071_sync/velodyne_points/data/0000000000.bin
29.788756,3.802705,19.547959,6.788283,0.09009,0.47,4,0.001,2011_09_30/2011_09_30_drive_0016_sync/velodyne_points/data/0000000000.bin
21.722791,3.844582,31.025682,6.776724,0.09009,0.47,4,0.01,2011_09_30/2011_09_30_drive_0016_sync/velodyne_points/data/0000000000.bin
32.023805,3.785365,37.567519,7.254311,0.09009,0.47,4,0.05,2011_09_30/2011_09_30_drive_0016_sync/velodyne_points/data/0000000000.bin
29.750167,3.810636,43.346172,6.7393,0.09009,0.47,4,0.1,2011_09_30/2011_09_30_drive_0016_sync/velodyne_points/data/0000000000.bin
47.328514,3.831682,65.070646,8.427383,0.09009,0.47,4,0.25,2011_09_30/2011_09_30_drive_0016_sync/velodyne_points/data/0000000000.bin
75.607975,3.82963,92.062838,7.051224,0.09009,0.47,4,0.5,2011_09_30/2011_09_30_drive_0016_sync/velodyne_points/data/0000000000.bin
79.957996,3.816311,109.040132,6.843306,0.09009,0.47,4,0.75,2011_09_30/2011_09_30_drive_0016_sync/velodyne_points/data/0000000000.bin
108.055706,6.50231,122.827191,6.958613,0.09009,0.47,4,1.0,2011_09_30/2011_09_30_drive_0016_sync/velodyne_points/data/0000000000.bin
21.650393,3.761951,16.492957,6.620127,0.09009,0.47,4,0.001,2011_09_30/2011_09_30_drive_0034_sync/velodyne_points/data/0000000000.bin
11.266506,3.757499,22.193669,7.136519,0.09009,0.47,4,0.01,2011_09_30/2011_09_30_drive_0034_sync/velodyne_points/data/0000000000.bin
20.197046,3.847197,23.931709,6.767132,0.09009,0.47,4,0.05,2011_09_30/2011_09_30_drive_0034_sync/velodyne_points/data/0000000000.bin
41.626233,3.789331,37.176619,6.634757,0.09009,0.47,4,0.1,2011_09_30/2011_09_30_drive_0034_sync/velodyne_points/data/0000000000.bin
56.655953,9.745677,52.516961,6.780718,0.09009,0.47,4,0.25,2011_09_30/2011_09_30_drive_0034_sync/velodyne_points/data/0000000000.bin
57.353127,3.810536,69.868795,6.736377,0.09009,0.47,4,0.5,2011_09_30/2011_09_30_drive_0034_sync/velodyne_points/data/0000000000.bin
79.549751,3.998566,76.946792,6.670409,0.09009,0.47,4,0.75,2011_09_30/2011_09_30_drive_0034_sync/velodyne_points/data/0000000000.bin
78.199779,3.801142,82.850771,6.838658,0.09009,0.47,4,1.0,2011_09_30/2011_09_30_drive_0034_sync/velodyne_points/data/0000000000.bin
23.115136,3.897498,30.414951,6.883558,0.09009,0.47,4,0.001,2011_10_03/2011_10_03_drive_0027_sync/velodyne_points/data/0000000000.bin
12.150202,3.946683,33.359974,7.211718,0.09009,0.47,4,0.01,2011_10_03/2011_10_03_drive_0027_sync/velodyne_points/data/0000000000.bin
20.107889,3.88371,32.159184,12.307029,0.09009,0.47,4,0.05,2011_10_03/2011_10_03_drive_0027_sync/velodyne_points/data/0000000000.bin
34.214997,3.911083,39.277077,7.269353,0.09009,0.47,4,0.1,2011_10_03/2011_10_03_drive_0027_sync/velodyne_points/data/0000000000.bin
49.435833,3.927861,44.725884,6.950769,0.09009,0.47,4,0.25,2011_10_03/2011_10_03_drive_0027_sync/velodyne_points/data/0000000000.bin
69.788035,5.534395,68.32248,9.40211,0.09009,0.47,4,0.5,2011_10_03/2011_10_03_drive_0027_sync/velodyne_points/data/0000000000.bin
77.346842,3.899122,89.1793,10.434105,0.09009,0.47,4,0.75,2011_10_03/2011_10_03_drive_0027_sync/velodyne_points/data/0000000000.bin
89.269008,3.907256,98.527703,6.884915,0.09009,0.47,4,1.0,2011_10_03/2011_10_03_drive_0027_sync/velodyne_points/data/0000000000.bin
13.647607,3.635739,16.066752,6.546393,0.09009,0.47,4,0.001,2011_10_03/2011_10_03_drive_0047_sync/velodyne_points/data/0000000000.bin
28.712046,3.958125,17.523078,6.448901,0.09009,0.47,4,0.01,2011_10_03/2011_10_03_drive_0047_sync/velodyne_points/data/0000000000.bin
31.091955,3.681252,25.432428,6.616203,0.09009,0.47,4,0.05,2011_10_03/2011_10_03_drive_0047_sync/velodyne_points/data/0000000000.bin
31.63236,3.658079,38.777983,6.517281,0.09009,0.47,4,0.1,2011_10_03/2011_10_03_drive_0047_sync/velodyne_points/data/0000000000.bin
38.590656,4.129982,42.235824,6.63162,0.09009,0.47,4,0.25,2011_10_03/2011_10_03_drive_0047_sync/velodyne_points/data/0000000000.bin
52.506288,3.715753,53.371658,6.607675,0.09009,0.47,4,0.5,2011_10_03/2011_10_03_drive_0047_sync/velodyne_points/data/0000000000.bin
60.316437,13.370774,56.043603,6.571256,0.09009,0.47,4,0.75,2011_10_03/2011_10_03_drive_0047_sync/velodyne_points/data/0000000000.bin
65.374277,3.772054,80.553581,6.563287,0.09009,0.47,4,1.0,2011_10_03/2011_10_03_drive_0047_sync/velodyne_points/data/0000000000.bin
